今字; 本字; 音; 示意; 組詞; 方音; 注釋
复(复合); 複; 幫三C東入; comp-; 複雜, 複眼, 繁複; [台] fok, [幽] fu3; 棄流攝讀法, 老國音統一作入聲
复(复辟); 復; 並三C東入, 並三C尤去; re-; 復興, 復習, 復覈; [台] vok/vu, [幽] fu4/fu2; 混同
